,Para Arzi
2020-10-31,3.27346200216887
2020-11-30,-0.8200453220233217
2020-12-31,-0.8715369902909997
2021-01-31,-0.1162092465241793
2021-02-28,-1.029048008562372
2021-03-31,5.187067890706176
2021-04-30,2.9855707272610665
2021-05-31,3.647907549252194
2021-06-30,2.3598570706613753
2021-07-31,1.2297898633943483
2021-08-31,0.12255174567088467
2021-09-30,3.923384038936617
2021-10-31,6.16388354388151
2021-11-30,13.968121360481511
2021-12-31,5.136626761615637
2022-01-31,3.4468547890949885
2022-02-28,4.037682736782333
2022-03-31,5.452344797774011
2022-04-30,2.7387085215833107
2022-05-31,6.707515759894411
2022-06-30,5.952798651865421
2022-07-31,4.4601918867910095
2022-08-31,4.02394875587484
2022-09-30,3.2640893820829575
2022-10-31,3.8402877346800146
